caseid,task,start_timestamp,end_timestamp,resource
6,W_Assess_application,2022-07-06 04:20:16.928,2022-07-06 04:46:43.31,SYSTEM
15,Start,2022-07-06 04:47:53.591,2022-07-06 04:47:53.591,SYSTEM
9,W_Call_missing_information,2022-07-06 04:19:25.759,2022-07-06 04:50:14.354,SYSTEM
11,O_SELECTED,2022-07-06 04:45:39.557,2022-07-06 04:55:14.267,SYSTEM
15,A_SUBMITTED,2022-07-06 04:47:53.591,2022-07-06 04:57:25.388,SYSTEM
9,O_ACCEPTED,2022-07-06 04:50:14.354,2022-07-06 04:57:25.813,SYSTEM
13,A_PARTLYSUBMITTED,2022-07-06 03:49:20.182,2022-07-06 04:57:27.239,SYSTEM
15,A_PARTLYSUBMITTED,2022-07-06 04:57:25.388,2022-07-06 05:01:33.64,SYSTEM
6,W_Call_missing_information,2022-07-06 04:46:43.31,2022-07-06 05:03:34.028,SYSTEM
16,Start,2022-07-06 05:10:25.759,2022-07-06 05:10:25.759,SYSTEM
4,A_PREACCEPTED,2022-07-05 23:12:16.346,2022-07-06 05:13:43.271,SYSTEM
6,O_ACCEPTED,2022-07-06 05:03:34.028,2022-07-06 05:14:22.448,SYSTEM
9,A_APPROVED,2022-07-06 04:57:25.813,2022-07-06 05:15:05.447,SYSTEM
12,W_Fix_incomplete_submission,2022-07-06 04:44:20.362,2022-07-06 05:15:51.852,SYSTEM
11,O_CREATED,2022-07-06 04:55:14.267,2022-07-06 05:16:10.141,SYSTEM
13,W_Fix_incomplete_submission,2022-07-06 04:57:27.239,2022-07-06 05:16:48.818,SYSTEM
11,O_SENT,2022-07-06 05:16:10.141,2022-07-06 05:18:56.696,SYSTEM
14,A_PARTLYSUBMITTED,2022-07-06 04:40:24.786,2022-07-06 05:20:15.439,SYSTEM
4,W_Complete_preaccepted_appl,2022-07-06 05:13:43.271,2022-07-06 05:21:36.014,SYSTEM
15,W_Fix_incomplete_submission,2022-07-06 05:01:33.64,2022-07-06 05:21:49.457,SYSTEM
15,A_PREACCEPTED,2022-07-06 05:21:49.457,2022-07-06 05:23:42.812,SYSTEM
13,A_PREACCEPTED,2022-07-06 05:16:48.818,2022-07-06 05:25:07.485,SYSTEM
9,A_REGISTERED,2022-07-06 05:15:05.447,2022-07-06 05:25:14.657,SYSTEM
11,W_Call_after_offer,2022-07-06 05:18:56.696,2022-07-06 05:28:36.399,SYSTEM
4,A_ACCEPTED,2022-07-06 05:21:36.014,2022-07-06 05:28:45.862,SYSTEM
6,A_APPROVED,2022-07-06 05:14:22.448,2022-07-06 05:31:21.366,SYSTEM
11,O_SENT_BACK,2022-07-06 05:28:36.399,2022-07-06 05:39:39.637,SYSTEM
13,W_Complete_preaccepted_appl,2022-07-06 05:25:07.485,2022-07-06 05:43:55.603,SYSTEM
13,A_ACCEPTED,2022-07-06 05:43:55.603,2022-07-06 05:46:37.902,SYSTEM
13,A_FINALIZED,2022-07-06 05:46:37.902,2022-07-06 05:47:15.348,SYSTEM
8,O_SENT,2022-07-06 04:00:03.452,2022-07-06 05:56:57.532,SYSTEM
11,W_Assess_application,2022-07-06 05:39:39.637,2022-07-06 05:57:35.558,SYSTEM
4,A_FINALIZED,2022-07-06 05:28:45.862,2022-07-06 05:59:22.228,SYSTEM
8,W_Call_after_offer,2022-07-06 05:56:57.532,2022-07-06 06:01:42.737,SYSTEM
13,O_SELECTED,2022-07-06 05:47:15.348,2022-07-06 06:03:18.186,SYSTEM
14,W_Fix_incomplete_submission,2022-07-06 05:20:15.439,2022-07-06 06:06:46.2,SYSTEM
13,O_CREATED,2022-07-06 06:03:18.186,2022-07-06 06:07:17.515,SYSTEM
11,W_Call_missing_information,2022-07-06 05:57:35.558,2022-07-06 06:09:25.54,SYSTEM
14,A_PREACCEPTED,2022-07-06 06:06:46.2,2022-07-06 06:11:28.704,SYSTEM
7,A_APPROVED,2022-07-06 04:32:41.667,2022-07-06 06:17:42.767,SYSTEM
17,Start,2022-07-06 06:21:01.616,2022-07-06 06:21:01.616,SYSTEM
13,O_SENT,2022-07-06 06:07:17.515,2022-07-06 06:22:29.722,SYSTEM
10,O_SENT,2022-07-06 04:45:52.123,2022-07-06 06:22:50.066,SYSTEM
14,W_Complete_preaccepted_appl,2022-07-06 06:11:28.704,2022-07-06 06:25:16.741,SYSTEM
16,A_SUBMITTED,2022-07-06 05:10:25.759,2022-07-06 06:26:15.362,SYSTEM
14,A_ACCEPTED,2022-07-06 06:25:16.741,2022-07-06 06:26:26.385,SYSTEM
11,O_ACCEPTED,2022-07-06 06:09:25.54,2022-07-06 06:31:20.032,SYSTEM
15,W_Complete_preaccepted_appl,2022-07-06 05:23:42.812,2022-07-06 06:34:58.887,SYSTEM
13,W_Call_after_offer,2022-07-06 06:22:29.722,2022-07-06 06:37:39.945,SYSTEM
15,A_ACCEPTED,2022-07-06 06:34:58.887,2022-07-06 06:41:39.154,SYSTEM
10,W_Call_after_offer,2022-07-06 06:22:50.066,2022-07-06 06:43:39.598,SYSTEM
16,A_PARTLYSUBMITTED,2022-07-06 06:26:15.362,2022-07-06 06:46:15.186,SYSTEM
8,O_SENT_BACK,2022-07-06 06:01:42.737,2022-07-06 06:47:10.053,SYSTEM
14,A_FINALIZED,2022-07-06 06:26:26.385,2022-07-06 06:55:27.168,SYSTEM
17,A_SUBMITTED,2022-07-06 06:21:01.616,2022-07-06 06:55:27.57,SYSTEM
4,O_SELECTED,2022-07-06 05:59:22.228,2022-07-06 06:56:03.757,SYSTEM
13,O_SENT_BACK,2022-07-06 06:37:39.945,2022-07-06 06:57:21.071,SYSTEM
15,A_FINALIZED,2022-07-06 06:41:39.154,2022-07-06 06:59:54.769,SYSTEM
4,O_CREATED,2022-07-06 06:56:03.757,2022-07-06 07:04:56.912,SYSTEM
10,O_SENT_BACK,2022-07-06 06:43:39.598,2022-07-06 07:06:49.19,SYSTEM
17,A_PARTLYSUBMITTED,2022-07-06 06:55:27.57,2022-07-06 07:06:50.74,SYSTEM
7,A_REGISTERED,2022-07-06 06:17:42.767,2022-07-06 07:07:15.534,SYSTEM
12,A_PREACCEPTED,2022-07-06 05:15:51.852,2022-07-06 07:07:43.992,SYSTEM
13,W_Assess_application,2022-07-06 06:57:21.071,2022-07-06 07:12:52.08,SYSTEM
18,Start,2022-07-06 07:18:45.761,2022-07-06 07:18:45.761,SYSTEM
14,O_SELECTED,2022-07-06 06:55:27.168,2022-07-06 07:21:04.237,SYSTEM
7,A_ACTIVATED,2022-07-06 07:07:15.534,2022-07-06 07:21:45.738,SYSTEM
7,End,2022-07-06 07:21:45.738,2022-07-06 07:21:45.738,SYSTEM
15,O_SELECTED,2022-07-06 06:59:54.769,2022-07-06 07:22:27.973,SYSTEM
17,W_Fix_incomplete_submission,2022-07-06 07:06:50.74,2022-07-06 07:23:02.009,SYSTEM
18,A_SUBMITTED,2022-07-06 07:18:45.761,2022-07-06 07:27:48.432,SYSTEM
13,W_Call_missing_information,2022-07-06 07:12:52.08,2022-07-06 07:32:53.565,SYSTEM
14,O_CREATED,2022-07-06 07:21:04.237,2022-07-06 07:32:55.709,SYSTEM
19,Start,2022-07-06 07:34:17.642,2022-07-06 07:34:17.642,SYSTEM
16,W_Fix_incomplete_submission,2022-07-06 06:46:15.186,2022-07-06 07:35:08.431,SYSTEM
20,Start,2022-07-06 07:36:09.251,2022-07-06 07:36:09.251,SYSTEM
16,A_PREACCEPTED,2022-07-06 07:35:08.431,2022-07-06 07:40:19.807,SYSTEM
21,Start,2022-07-06 07:40:48.1,2022-07-06 07:40:48.1,SYSTEM
18,A_PARTLYSUBMITTED,2022-07-06 07:27:48.432,2022-07-06 07:42:24.13,SYSTEM
8,W_Assess_application,2022-07-06 06:47:10.053,2022-07-06 07:43:24.68,SYSTEM
14,O_SENT,2022-07-06 07:32:55.709,2022-07-06 07:44:32.951,SYSTEM
21,A_SUBMITTED,2022-07-06 07:40:48.1,2022-07-06 07:46:17.275,SYSTEM
14,W_Call_after_offer,2022-07-06 07:44:32.951,2022-07-06 07:47:03.575,SYSTEM
16,W_Complete_preaccepted_appl,2022-07-06 07:40:19.807,2022-07-06 07:50:33.734,SYSTEM
14,A_DECLINED,2022-07-06 07:47:03.575,2022-07-06 07:50:59.624,SYSTEM
14,End,2022-07-06 07:50:59.624,2022-07-06 07:50:59.624,SYSTEM
13,O_ACCEPTED,2022-07-06 07:32:53.565,2022-07-06 07:53:22.104,SYSTEM
19,A_SUBMITTED,2022-07-06 07:34:17.642,2022-07-06 07:55:35.446,SYSTEM
